행정구역,2026년04월_거주자_총인구수,2026년04월_거주자_연령구간인구수,2026년04월_거주자_0세,2026년04월_거주자_1세,2026년04월_거주자_2세,2026년04월_거주자_3세,2026년04월_거주자_4세,2026년04월_거주자_5세,2026년04월_거주자_6세,2026년04월_거주자_7세,2026년04월_거주자_8세,2026년04월_거주자_9세,2026년04월_거주자_10세,2026년04월_거주자_11세,2026년04월_거주자_12세,2026년04월_거주자_13세,2026년04월_거주자_14세,2026년04월_거주자_15세,2026년04월_거주자_16세,2026년04월_거주자_17세,2026년04월_거주자_18세,2026년04월_거주자_19세,2026년04월_거주자_20세,2026년04월_거주자_21세,2026년04월_거주자_22세,2026년04월_거주자_23세,2026년04월_거주자_24세,2026년04월_거주자_25세,2026년04월_거주자_26세,2026년04월_거주자_27세,2026년04월_거주자_28세,2026년04월_거주자_29세,2026년04월_거주자_30세,2026년04월_거주자_31세,2026년04월_거주자_32세,2026년04월_거주자_33세,2026년04월_거주자_34세,2026년04월_거주자_35세,2026년04월_거주자_36세,2026년04월_거주자_37세,2026년04월_거주자_38세,2026년04월_거주자_39세,2026년04월_거주자_40세,2026년04월_거주자_41세,2026년04월_거주자_42세,2026년04월_거주자_43세,2026년04월_거주자_44세,2026년04월_거주자_45세,2026년04월_거주자_46세,2026년04월_거주자_47세,2026년04월_거주자_48세,2026년04월_거주자_49세,2026년04월_거주자_50세,2026년04월_거주자_51세,2026년04월_거주자_52세,2026년04월_거주자_53세,2026년04월_거주자_54세,2026년04월_거주자_55세,2026년04월_거주자_56세,2026년04월_거주자_57세,2026년04월_거주자_58세,2026년04월_거주자_59세,2026년04월_거주자_60세,2026년04월_거주자_61세,2026년04월_거주자_62세,2026년04월_거주자_63세,2026년04월_거주자_64세,2026년04월_거주자_65세,2026년04월_거주자_66세,2026년04월_거주자_67세,2026년04월_거주자_68세,2026년04월_거주자_69세,2026년04월_거주자_70세,2026년04월_거주자_71세,2026년04월_거주자_72세,2026년04월_거주자_73세,2026년04월_거주자_74세,2026년04월_거주자_75세,2026년04월_거주자_76세,2026년04월_거주자_77세,2026년04월_거주자_78세,2026년04월_거주자_79세,2026년04월_거주자_80세,2026년04월_거주자_81세,2026년04월_거주자_82세,2026년04월_거주자_83세,2026년04월_거주자_84세,2026년04월_거주자_85세,2026년04월_거주자_86세,2026년04월_거주자_87세,2026년04월_거주자_88세,2026년04월_거주자_89세,2026년04월_거주자_90세,2026년04월_거주자_91세,2026년04월_거주자_92세,2026년04월_거주자_93세,2026년04월_거주자_94세,2026년04월_거주자_95세,2026년04월_거주자_96세,2026년04월_거주자_97세,2026년04월_거주자_98세,2026년04월_거주자_99세,2026년04월_거주자_100세 이상
인천광역시  (2800000000),"3,042,501","3,042,501","17,577","17,112","15,443","16,444","17,219","17,740","19,150","20,755","21,598","24,137","26,477","26,969","26,386","28,503","28,629","28,963","26,578","27,136","29,144","26,839","25,338","25,883","28,266","28,230","31,236","36,290","37,621","37,642","40,207","41,015","43,072","43,996","45,301","46,859","47,071","42,545","41,624","40,842","39,266","39,845","41,406","40,907","45,282","49,492","52,817","51,753","51,768","45,599","46,315","43,984","46,214","48,888","51,955","52,584","53,416","53,801","52,159","54,616","49,216","48,162","49,732","50,732","45,199","53,064","49,634","53,777","49,344","44,524","41,653","37,417","35,118","34,965","26,162","26,658","21,657","18,788","20,517","19,449","19,193","18,238","12,635","12,762","12,402","13,926","12,272","9,386","8,675","7,936","6,493","5,539","4,774","3,719","2,851","2,269","1,658","1,195",907,721,455,295,528
인천광역시 중구 (2811000000),"177,013","177,013","1,272","1,232","1,173","1,205","1,150","1,168","1,280","1,390","1,419","1,518","1,635","1,614","1,616","1,735","1,742","1,700","1,520","1,480","1,645","1,401","1,323","1,375","1,598","1,615","2,018","2,656","2,793","2,771","2,873","2,873","2,946","3,067","3,143","3,243","3,133","2,828","2,871","2,693","2,607","2,642","2,718","2,536","2,832","3,147","3,389","3,187","3,264","2,845","2,830","2,640","2,825","2,815","2,930","2,882","2,865","2,933","2,643","2,690","2,313","2,154","2,380","2,259","2,063","2,273","2,205","2,301","2,219","2,130","1,908","1,820","1,703","1,846","1,414","1,382","1,107",968,"1,149","1,050","1,080",977,691,724,682,763,636,468,459,422,332,261,202,179,138,117,84,63,48,37,25,17,30
인천광역시 동구 (2814000000),"57,518","57,518",266,227,213,188,214,193,247,259,262,316,347,356,360,438,422,464,414,441,518,460,419,418,474,452,525,567,567,632,594,631,660,652,703,723,723,665,598,608,619,585,608,644,672,785,892,939,938,838,852,834,922,954,981,"1,071","1,015",976,953,"1,035",931,893,870,961,831,"1,047","1,001","1,151","1,092","1,015","1,039",961,956,953,709,821,681,600,657,622,676,635,452,448,449,495,432,341,276,283,172,166,140,107,78,75,71,23,22,19,21,5,12
인천광역시 미추홀구 (2817700000),"415,181","415,181","2,329","2,251","2,025","2,022","2,124","2,193","2,235","2,410","2,489","2,756","2,992","3,064","2,968","3,171","3,302","3,317","3,108","3,170","3,731","3,656","3,500","3,838","4,345","4,518","4,651","5,320","5,362","5,322","5,646","5,794","5,926","6,008","6,221","6,335","6,351","5,745","5,581","5,555","5,080","5,243","5,483","5,356","5,952","6,549","6,881","6,822","6,806","5,994","6,139","5,686","6,155","6,526","7,072","7,109","7,237","7,220","6,914","7,154","6,450","6,266","6,458","6,528","5,921","7,155","6,546","7,302","6,823","6,358","5,960","5,606","5,424","5,331","4,051","4,175","3,440","3,172","3,433","3,276","3,290","3,119","2,244","2,209","2,167","2,403","2,134","1,544","1,448","1,315","1,045",884,758,566,460,339,244,174,144,115,76,50,69
인천광역시 연수구 (2818500000),"408,446","408,446","2,775","2,720","2,533","2,728","2,991","3,115","3,546","3,786","3,947","4,316","4,845","4,963","4,781","5,114","4,984","4,917","4,462","4,486","4,725","4,161","3,918","3,964","4,072","3,863","4,242","4,759","4,829","4,708","5,109","4,943","5,220","5,296","5,651","5,896","6,113","5,618","5,874","5,686","5,678","5,956","6,336","6,264","6,950","7,510","8,080","7,778","7,790","6,732","6,770","6,395","6,658","6,931","7,172","7,080","7,245","7,083","6,865","6,925","6,051","5,791","6,041","6,127","5,534","6,321","5,883","6,036","5,631","4,845","4,473","3,931","3,588","3,500","2,585","2,590","1,975","1,628","1,831","1,752","1,676","1,662","1,102","1,116","1,079","1,244","1,129",830,828,740,635,465,461,362,298,236,176,129,94,86,34,34,63
인천광역시 남동구 (2820000000),"476,861","476,861","1,905","1,860","1,705","1,869","1,952","2,091","2,342","2,740","2,991","3,458","3,906","4,149","4,109","4,625","4,573","4,754","4,419","4,485","4,689","4,351","4,179","3,970","4,525","4,517","5,082","5,937","6,041","6,037","6,228","6,554","6,726","6,703","6,660","6,728","6,471","5,640","5,565","5,332","5,290","5,320","5,598","5,624","6,433","7,276","8,026","8,008","8,193","7,422","7,577","7,230","7,488","7,928","8,476","8,612","8,767","8,784","8,454","8,970","8,078","8,013","8,102","8,419","7,310","8,712","8,280","9,091","8,295","7,610","7,244","6,332","5,940","6,072","4,629","4,742","3,834","3,247","3,535","3,360","3,337","3,150","2,179","2,227","2,094","2,284","2,048","1,606","1,464","1,234","1,089",895,751,604,405,373,264,195,158,114,68,46,87
인천광역시 부평구 (2823700000),"486,717","486,717","2,796","2,574","2,220","2,245","2,317","2,321","2,511","2,729","2,804","3,282","3,463","3,538","3,516","3,677","3,860","3,949","3,758","3,966","4,229","3,982","3,703","3,926","4,252","4,443","4,819","5,736","6,153","6,173","6,919","7,044","7,590","7,818","7,961","8,181","8,305","7,410","6,875","6,747","6,349","6,282","6,243","6,182","6,824","7,248","7,816","7,723","7,326","6,710","6,898","6,646","6,898","7,485","8,011","8,450","8,454","8,731","8,635","9,062","8,258","8,237","8,584","8,731","7,791","9,148","8,329","9,439","8,454","7,609","7,220","6,539","6,066","6,000","4,518","4,551","3,839","3,350","3,466","3,447","3,270","3,061","2,198","2,178","2,136","2,446","2,036","1,693","1,512","1,440","1,125",986,807,648,512,376,272,201,157,115,81,48,78
인천광역시 계양구 (2824500000),"275,489","275,489","1,134","1,020",906,"1,035","1,056","1,133","1,186","1,305","1,343","1,530","1,775","1,823","1,782","2,027","2,136","2,239","2,103","2,261","2,536","2,362","2,189","2,311","2,549","2,567","2,935","3,379","3,528","3,589","3,686","3,875","4,049","4,190","4,162","4,159","4,052","3,667","3,407","3,277","3,085","3,008","3,133","3,142","3,387","3,839","3,925","3,928","4,139","3,624","3,793","3,708","4,084","4,443","4,878","5,078","5,188","5,408","5,485","5,943","5,549","5,556","5,680","5,912","5,292","6,418","5,907","6,183","5,566","4,775","4,269","3,794","3,440","3,478","2,456","2,365","1,996","1,647","1,809","1,622","1,665","1,557","1,043","1,095","1,103","1,229","1,168",837,807,719,639,547,488,380,251,216,141,124,74,80,42,25,64
인천광역시 서구 (2826000000),"656,572","656,572","4,810","4,945","4,417","4,851","5,140","5,209","5,494","5,839","6,008","6,593","7,097","7,029","6,820","7,202","7,076","7,097","6,252","6,296","6,505","5,939","5,539","5,508","5,849","5,718","6,367","7,264","7,671","7,739","8,501","8,701","9,351","9,560","10,121","10,952","11,262","10,316","10,228","10,307","9,942","10,220","10,665","10,473","11,473","12,293","12,843","12,421","12,346","10,500","10,510","9,876","10,195","10,708","11,226","11,047","11,313","11,264","10,765","11,249","9,989","9,641","9,847","9,937","8,672","9,802","9,217","9,759","8,870","7,822","7,341","6,406","6,021","5,735","4,210","4,437","3,434","3,074","3,236","3,049","2,886","2,745","1,860","1,893","1,715","2,023","1,749","1,337","1,201","1,114",947,822,738,515,423,343,238,169,142,105,75,47,84
인천광역시 강화군 (2871000000),"69,384","69,384",242,235,206,252,231,259,252,248,287,306,350,365,374,433,437,433,455,457,478,404,422,397,387,363,358,427,432,439,435,405,414,526,513,470,497,506,476,488,484,448,510,546,604,651,762,750,754,724,746,755,754,831,962,"1,000","1,037","1,101","1,119","1,248","1,216","1,255","1,367","1,438","1,380","1,662","1,778","1,956","1,890","1,862","1,734","1,575","1,538","1,594","1,277","1,247","1,086",879,"1,130","1,019","1,104","1,052",690,723,819,851,793,622,565,561,421,417,356,309,230,170,127,97,53,35,21,14,26
인천광역시 옹진군 (2872000000),"19,320","19,320",48,48,45,49,44,58,57,49,48,62,67,68,60,81,97,93,87,94,88,123,146,176,215,174,239,245,245,232,216,195,190,176,166,172,164,150,149,149,132,141,112,140,155,194,203,197,212,210,200,214,235,267,247,255,295,301,326,340,381,356,403,420,405,526,488,559,504,498,465,453,442,456,313,348,265,223,271,252,209,280,176,149,158,188,147,108,115,108,88,96,73,49,56,24,41,20,15,15,12,9,15
